"sample","latitude","longitude","date","time","site","location","successful.count","fov.Limited","fov.Open","rowid","detailed.Consolidated.Cobbles.No biota","detailed.Consolidated.Cobbles.Turf mat","detailed.Consolidated.Rock.No biota","detailed.Consolidated.Rock.Turf mat","detailed.Consolidated.Rock.Veneer","detailed.Macroalgae.Articulated calcareous.","detailed.Macroalgae.Encrusting.Brown","detailed.Macroalgae.Encrusting.Red","detailed.Macroalgae.Erect course branching.Brown","detailed.Macroalgae.Erect course branching.Red","detailed.Macroalgae.Erect fine branching.Brown","detailed.Macroalgae.Erect fine branching.Green","detailed.Macroalgae.Erect fine branching.Red","detailed.Macroalgae.Large canopy-forming.Ecklonia radiata","detailed.Macroalgae.Large canopy-forming.Scytothalia dorycarpa","detailed.Macroalgae.Small mixed.","detailed.Seagrasses.Strap-like leaves.Thalassodendrum sp.","detailed.Seagrasses.Strap-like leaves.Thalassodendrum sp. with epiphytes algae","detailed.Sponges.Crusts.","detailed.Sponges.Erect forms.","detailed.Sponges.Hollow forms.","detailed.Sponges.Massive forms.","detailed.Sponges.Small mixed.","detailed.Unconsolidated.Pebble.gravel (pebble 10-64mm)","detailed.Unconsolidated.Sand.mud (coarse sand)"
"01",34.128599,114.930865,20200602,09:10:00,1,"SouthWest","Y",12.5,87.5,9495,0,0,0,0.0209995800083998,0,0,0,0,0,0,0,0,0.136497270054599,0,0,0,0,0,0,0.0209995800083998,0,0.115497690046199,0.0104997900041999,0,0
"02",34.125316,114.928838,20200602,09:18:00,1,"SouthWest","Y",5,95,10754,0,0,0,0,0,0,0,0,0,0,0,0,0.194624652455978,0.0556070435588508,0,0,0,0,0,0.0185356811862836,0.0092678405931418,0.046339202965709,0.0092678405931418,0,0
"03",34.126906,114.925945,20200602,09:27:00,1,"SouthWest","Y",30,70,9191,0,0,0,0,0,0,0,0,0,0,0.0760456273764259,0,0.0434546442151005,0.0217273221075502,0,0,0,0.0108636610537751,0,0,0,0,0,0,0
"04",34.122634,114.920337,20200602,09:44:00,1,"SouthWest","Y",5,95,12735,0.0704887218045113,0.00783208020050125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180137844611529
"05",34.131497,114.915753,20200602,09:57:00,1,"SouthWest","Y",5,95,13550,0,0,0,0,0,0,0,0,0,0,0,0,0.250239199234562,0,0,0,0,0,0,0,0,0.0147199528961507,0,0,0.00735997644807537
"06",34.132842,114.912405,20200602,10:06:00,1,"SouthWest","Y",5,95,10036,0,0,0.00993245927691696,0.0297973778307509,0,0,0,0,0,0,0,0.0496622963845848,0.0893921334922527,0,0,0.0496622963845848,0,0,0,0,0,0.0198649185538339,0,0,0.0695272149384188
"07",34.134771,114.910241,20200602,10:16:00,1,"SouthWest","Y",5,95,14724,0,0,0,0,0,0,0,0,0.00677506775067751,0.0338753387533875,0,0,0.121951219512195,0.0203252032520325,0,0,0,0,0,0,0,0,0,0,0.0609756097560976
"08",34.129352,114.911755,20200602,13:48:00,1,"SouthWest","Y",5,95,15623,0,0,0,0.0446970180703659,0,0,0,0,0,0,0,0,0.0191558648872997,0.0446970180703659,0,0,0,0,0.102164612732265,0.0127705765915331,0.00638528829576655,0.0127705765915331,0,0,0
"09",34.119541,114.916105,20200602,11:45:00,1,"SouthWest","Y",7.5,92.5,15004,0.00665026268537607,0,0,0,0,0,0,0,0,0,0,0,0.0532021014830086,0.0133005253707521,0,0,0,0,0,0,0,0,0,0,0.146305779078274
"10",34.117294,114.918685,20200602,11:51:00,1,"SouthWest","Y",5,95,14453,0,0,0,0,0,0,0,0,0.00690464682731478,0,0.0207139404819443,0,0.110474349237037,0,0,0.00690464682731478,0,0,0.0138092936546296,0.0138092936546296,0,0.0138092936546296,0,0,0.0207139404819443
"11",34.117752,114.92306,20200602,13:55:00,1,"SouthWest","Y",5,95,17365,0,0,0.00574646592345707,0.0229858636938283,0,0,0,0,0,0,0,0,0.0344787955407424,0.0229858636938283,0,0,0,0,0,0,0,0,0.0172393977703712,0.0114929318469141,0.0976899206987703
"12",34.132262,114.928545,20200602,12:03:00,1,"SouthWest","Y",20,80,11277,0,0,0,0,0,0,0,0,0,0,0,0,0.0265698343813657,0.0354264458418209,0,0,0.0265698343813657,0,0.00885661146045523,0,0,0.0265698343813657,0,0,0
"13",34.128506,114.930547,20200602,12:09:00,1,"SouthWest","Y",12.8205128205128,87.1794871794872,14855,0,0,0,0,0.0268744961031981,0,0,0.00671862402579952,0,0,0,0,0.0537489922063961,0,0,0,0,0,0,0.013437248051599,0,0.0201558720773985,0.013437248051599,0,0.0604676162321957
"14",34.128381,114.925457,20200602,12:16:00,1,"SouthWest","Y",2.5,97.5,18202,0,0,0,0,0,0,0,0,0,0,0,0,0.0219310269203355,0.137068918252097,0,0,0.0383792971105872,0,0,0,0,0.00548275673008389,0,0,0
"15",34.125012,114.91032,20200602,14:09:00,1,"SouthWest","Y",5,95,19069,0,0,0,0,0.00523450586264657,0,0,0,0.00523450586264657,0,0,0,0,0.0942211055276382,0,0,0,0,0.0314070351758794,0.00523450586264657,0,0.0104690117252931,0,0,0.0314070351758794
"16",34.126181,114.906548,20200602,14:14:00,1,"SouthWest","Y",5,95,18412,0,0,0,0.00542093565349379,0.0108418713069876,0,0,0,0.0162628069604814,0,0,0,0.00542093565349379,0.130102455683851,0,0,0,0.00542093565349379,0.0108418713069876,0,0,0,0.00542093565349379,0,0
"17",34.132142,114.92083,20200602,14:20:00,1,"SouthWest","Y",5,95,15459,0,0,0.012911555842479,0,0,0,0,0,0.0387346675274371,0,0,0,0.0193673337637185,0.0193673337637185,0.0516462233699161,0,0,0,0,0,0,0,0,0,0.0581020012911556
"18",34.128679,114.924078,20200602,14:25:00,1,"SouthWest","Y",2.5,97.5,11748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212314225053079,0,0,0,0,0,0,0,0.00849256900212314,0.00849256900212314,0,0
"19",34.122542,114.927818,20200602,14:30:00,1,"SouthWest","Y",0,100,23123,0,0,0.00431741645799154,0,0.00431741645799154,0,0.0129522493739746,0.00431741645799154,0.0345393316639323,0,0,0,0,0.0172696658319662,0,0,0,0,0.0172696658319662,0.00431741645799154,0,0.00431741645799154,0,0,0.0647612468698731
"20",34.130219,114.820233,20200603,08:16:00,1,"SouthWest","Y",12.5,87.5,18860,0,0,0.0688158382298449,0,0,0,0.0105870520353608,0,0,0.00529352601768038,0,0,0.0105870520353608,0.0105870520353608,0,0.0211741040707215,0,0,0,0.00529352601768038,0,0.0158805780530411,0,0,0.0158805780530411
"21",34.128151,114.817448,20200603,08:24:00,1,"SouthWest","Y",7.5,92.5,19566,0,0,0.0102072062876391,0.0306216188629172,0.0153108094314586,0,0,0,0.0153108094314586,0,0,0,0.0306216188629172,0.0102072062876391,0,0.00510360314381954,0,0,0,0,0,0.0153108094314586,0,0,0.0102072062876391
"22",34.126271,114.819552,20200603,08:32:00,1,"SouthWest","Y",2.5,97.5,19856,0,0,0.00502790487203982,0.00502790487203982,0,0,0,0,0.0452511438483584,0,0,0,0.0251395243601991,0.0150837146161195,0,0.0301674292322389,0,0,0,0,0,0.0100558097440796,0,0,0.0301674292322389
"23",34.124217,114.817017,20200603,08:38:00,1,"SouthWest","Y",7.89473684210526,92.1052631578947,21264,0,0,0.00469571750563486,0.032870022539444,0.00939143501126972,0,0,0.00939143501126972,0.00469571750563486,0,0,0,0.0140871525169046,0,0,0.0281743050338092,0.00469571750563486,0,0.00469571750563486,0,0,0.0281743050338092,0,0,0.00939143501126972
"24",34.118739,114.826402,20200603,08:47:00,1,"SouthWest","Y",7.5,92.5,12435,0,0,0.0321027287319422,0.0240770465489567,0.0240770465489567,0,0.00802568218298555,0,0,0,0,0,0.0321027287319422,0.00802568218298555,0,0,0,0,0.0160513643659711,0.00802568218298555,0,0.0401284109149278,0,0,0.00802568218298555
"25",34.116829,114.828432,20200603,08:54:00,1,"SouthWest","Y",5,95,14839,0,0,0.0336337952374546,0.0201802771424728,0.0134535180949818,0,0,0,0.0336337952374546,0,0,0,0.0134535180949818,0.0336337952374546,0,0,0,0,0,0.00672675904749092,0,0.00672675904749092,0,0,0.0201802771424728
"26",34.120881,114.828907,20200603,09:02:00,1,"SouthWest","Y",0,100,26321,0,0,0.00379377062862779,0.0417314769149057,0.00758754125725559,0.00379377062862779,0,0.0151750825145112,0.0151750825145112,0,0,0,0.0151750825145112,0,0,0,0,0,0,0.0113813118858834,0,0.00379377062862779,0,0,0.0265563944003946
"27",34.121824,114.832898,20200603,10:19:00,1,"SouthWest","Y",0,100,29100,0,0.0102951269732327,0.00343170899107756,0.0343170899107756,0.0137268359643102,0,0,0,0,0.00686341798215511,0,0,0.0102951269732327,0.00343170899107756,0,0,0,0,0,0,0,0.0102951269732327,0,0,0.0446122168840082
"28",34.112916,114.852137,20200603,10:27:00,1,"SouthWest","Y",0,100,29434,0,0,0.00678587181488142,0.0101788077223221,0,0,0,0.00339293590744071,0.0475011027041699,0,0,0.00339293590744071,0.0339293590744071,0.0135717436297628,0,0.0101788077223221,0,0,0,0,0,0.00339293590744071,0,0,0
"29",34.111084,114.855648,20200603,10:31:00,1,"SouthWest","Y",5,95,16478,0,0,0,0,0,0,0,0,0.0484760346603648,0,0,0,0.0424165303278192,0.0424165303278192,0,0,0,0.0060595043325456,0,0,0,0,0,0,0.0121190086650912
"30",34.112094,114.85946,20200603,10:37:00,1,"SouthWest","Y",7.5,92.5,23167,0,0,0,0,0.0086210612526402,0,0,0,0.0129315918789603,0,0,0,0.0603474287684814,0.0258631837579206,0,0.0086210612526402,0.0043105306263201,0,0,0,0,0.0172421225052804,0,0,0
"31",34.116007,114.860738,20200603,10:42:00,1,"SouthWest","Y",2.5,97.5,29171,0,0,0.0205430205087821,0,0.0171191837573185,0,0,0,0.00684767350292738,0,0,0,0.00342383675146369,0,0,0,0,0,0,0,0,0.00342383675146369,0,0,0.0719005717807375
"32",34.130076,114.86109,20200603,10:49:00,1,"SouthWest","Y",5.26315789473684,94.7368421052632,29219,0,0,0.00341810226961991,0,0,0,0,0,0.0307629204265792,0,0,0,0.0273448181569593,0.0273448181569593,0,0,0.00683620453923981,0.00683620453923981,0,0,0,0,0,0,0.0239267158873393
"33",34.133067,114.8627,20200603,10:54:00,1,"SouthWest","Y",5,95,26595,0,0,0.0225352112676056,0,0.0112676056338028,0,0,0,0,0,0,0,0.0300469483568075,0,0,0,0,0,0,0,0,0.00375586854460094,0,0,0.0450704225352113
"34",34.131334,114.866053,20200603,12:18:00,1,"SouthWest","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",34.134801,114.869348,20200603,12:23:00,1,"SouthWest","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",34.130484,114.878263,20200603,12:29:00,1,"SouthWest","Y",15,85,19244,0.0311510305799284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571102227298686
"37",34.126354,114.878937,20200603,12:34:00,1,"SouthWest","Y",5,95,22109,0.00451732393729954,0,0.00903464787459909,0,0.00451732393729954,0,0,0,0,0,0,0,0.0677598590594932,0.0180692957491982,0,0,0,0.00451732393729954,0,0,0,0,0,0,0.0180692957491982
"38",34.127912,114.883938,20200603,12:39:00,1,"SouthWest","Y",2.5,97.5,23104,0,0,0,0,0.00432282885920546,0,0,0,0,0,0,0,0.0129684865776164,0.0389054597328492,0,0,0,0,0,0,0,0,0,0,0.0691652617472874
"39",34.132294,114.884797,20200603,12:42:00,1,"SouthWest","Y",5,95,30638,0,0,0,0.00326008997848341,0.00326008997848341,0,0,0,0.0521614396557345,0,0,0,0,0,0,0.0195605398709004,0,0.00652017995696681,0,0,0,0,0,0,0.0326008997848341
"40",34.133669,114.880443,20200603,12:46:00,1,"SouthWest","Y",0,100,30528,0,0,0,0.00654450261780105,0.00654450261780105,0,0,0.00327225130890052,0.0261780104712042,0,0.0229057591623037,0,0.0229057591623037,0.00327225130890052,0,0,0.00654450261780105,0.00327225130890052,0,0,0,0.00327225130890052,0,0,0
"08 - failed",34.129336,114.911822,20200602,11:36:00,1,"SouthWest","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11 - failed",34.117769,114.923158,20200602,11:55:00,1,"SouthWest","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
