"campaignid","sample","filename","period","periodtime","family","genus","species","comment","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","11.98600","Carangidae","Pseudocaranx","spp",NA,1,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","4.74133","Labridae","Austrolabrus","maculatus",NA,2,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","37.76867","Labridae","Coris","auricularis",NA,5,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","23.57200","Labridae","Ophthalmolepis","lineolatus",NA,2,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","28.11067","Labridae","Pseudolabrus","biserialis",NA,17,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","34.51200","Pomacentridae","Chromis","klunzingeri",NA,36,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","15.33000","Scorpididae","Tilodon","sexfasciatus",NA,1,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","1.17933","Serranidae","Caesioperca","sp1",NA,13,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","3.92000","Serranidae","Hypoplectrodes","nigroruber",NA,1,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","13.02933","Sparidae","Chrysophrys","auratus",NA,1,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","58.76267","Triakidae","Furgaleus","macki",NA,1,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","0.53400","Gerreidae","Parequula","melbournensis",NA,2,"-34.126906","114.925945","20200602","09:27","South-west","No-take",NA,"39.3","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","40.76000","Glaucosomatidae","Glaucosoma","hebraicum",NA,3,"-34.126906","114.925945","20200602","09:27","South-west","No-take",NA,"39.3","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","45.82400","Labridae","Coris","auricularis",NA,3,"-34.126906","114.925945","20200602","09:27","South-west","No-take",NA,"39.3","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","32.74000","Labridae","Ophthalmolepis","lineolatus",NA,6,"-34.126906","114.925945","20200602","09:27","South-west","No-take",NA,"39.3","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","10.62600","Labridae","Pseudolabrus","biserialis",NA,8,"-34.126906","114.925945","20200602","09:27","South-west","No-take",NA,"39.3","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","20.76400","Pomacentridae","Chromis","klunzingeri",NA,12,"-34.126906","114.925945","20200602","09:27","South-west","No-take",NA,"39.3","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","51.64067","Scorpididae","Neatypus","obliquus",NA,9,"-34.126906","114.925945","20200602","09:27","South-west","No-take",NA,"39.3","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","48.56000","Sparidae","Chrysophrys","auratus",NA,2,"-34.126906","114.925945","20200602","09:27","South-west","No-take",NA,"39.3","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","03","03_L367.avi","1","48.25600","Triakidae","Furgaleus","macki",NA,1,"-34.126906","114.925945","20200602","09:27","South-west","No-take",NA,"39.3","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","12.83000","Aulopidae","Latropiscis","purpurissatus",NA,1,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","21.81667","Carangidae","Pseudocaranx","spp",NA,3,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","56.60933","Cheilodactylidae","Cheilodactylus","gibbosus",NA,3,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","13.14733","Labridae","Coris","auricularis",NA,1,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","27.71267","Labridae","Ophthalmolepis","lineolatus",NA,3,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","16.29133","Labridae","Pseudolabrus","biserialis",NA,1,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","52.69200","Scorpididae","Neatypus","obliquus",NA,10,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","53.02067","Sparidae","Chrysophrys","auratus",NA,3,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","04","04_L373.avi","1","28.51867","Triakidae","Galeorhinus","galeus",NA,1,"-34.122634","114.920337","20200602","09:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","5.48933","Gerreidae","Parequula","melbournensis",NA,7,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","54.33600","Heterodontidae","Heterodontus","portusjacksoni",NA,1,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","9.40933","Labridae","Austrolabrus","maculatus",NA,2,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","23.19800","Labridae","Ophthalmolepis","lineolatus",NA,6,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","30.46533","Labridae","Pseudolabrus","biserialis",NA,4,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","59.99333","Monacanthidae","Acanthaluteres","brownii",NA,1,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","19.05800","Monacanthidae","Scobinichthys","granulatus",NA,1,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","5.39667","Mullidae","Upeneichthys","vlamingii",NA,2,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","51.53333","Myliobatidae","Myliobatis","tenuicaudatus",NA,1,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","58.14867","Oplegnathidae","Oplegnathus","woodwardi",NA,2,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","58.44133","Pempherididae","Pempheris","klunzingeri",NA,37,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","34.43800","Pomacentridae","Chromis","klunzingeri",NA,1,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","34.79333","Scorpididae","Neatypus","obliquus",NA,26,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","05","05_L375.avi","1","19.10733","Tetraodontidae","Omegophora","armilla",NA,1,"-34.131497","114.915753","20200602","09:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","4.62667","Carangidae","Pseudocaranx","spp",NA,1,"-34.132842","114.912405","20200602","10:06","South-west","No-take",NA,"43.2","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","45.83733","Heterodontidae","Heterodontus","portusjacksoni",NA,2,"-34.132842","114.912405","20200602","10:06","South-west","No-take",NA,"43.2","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","35.57533","Labridae","Austrolabrus","maculatus",NA,2,"-34.132842","114.912405","20200602","10:06","South-west","No-take",NA,"43.2","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","48.79867","Labridae","Coris","auricularis",NA,4,"-34.132842","114.912405","20200602","10:06","South-west","No-take",NA,"43.2","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","2.90533","Labridae","Eupetrichthys","angustipes",NA,1,"-34.132842","114.912405","20200602","10:06","South-west","No-take",NA,"43.2","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","47.66467","Labridae","Ophthalmolepis","lineolatus",NA,4,"-34.132842","114.912405","20200602","10:06","South-west","No-take",NA,"43.2","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","40.28467","Labridae","Pseudolabrus","biserialis",NA,5,"-34.132842","114.912405","20200602","10:06","South-west","No-take",NA,"43.2","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","37.38000","Odacidae","Siphonognathus","caninis",NA,1,"-34.132842","114.912405","20200602","10:06","South-west","No-take",NA,"43.2","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","4.56333","Oplegnathidae","Oplegnathus","woodwardi",NA,1,"-34.132842","114.912405","20200602","10:06","South-west","No-take",NA,"43.2","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","19.94933","Scorpididae","Neatypus","obliquus",NA,1,"-34.132842","114.912405","20200602","10:06","South-west","No-take",NA,"43.2","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","37.44533","Triakidae","Mustelus","antarcticus",NA,1,"-34.132842","114.912405","20200602","10:06","South-west","No-take",NA,"43.2","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","06","06_L369.avi","1","52.52133","Trygonorrhinidae","Trygonorrhina","dumerilii",NA,2,"-34.132842","114.912405","20200602","10:06","South-west","No-take",NA,"43.2","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (5).MP4","1","24.79366","Heterodontidae","Heterodontus","portusjacksoni",NA,2,"-34.134771","114.910241","20200602","10:16","South-west","No-take",NA,"43.9","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (6).MP4","1","34.70356","Labridae","Austrolabrus","maculatus",NA,3,"-34.134771","114.910241","20200602","10:16","South-west","No-take",NA,"43.9","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (2).MP4","1","2.68657","Labridae","Coris","auricularis",NA,7,"-34.134771","114.910241","20200602","10:16","South-west","No-take",NA,"43.9","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (7).MP4","1","44.89763","Labridae","Eupetrichthys","angustipes",NA,1,"-34.134771","114.910241","20200602","10:16","South-west","No-take",NA,"43.9","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (4).MP4","1","22.47245","Labridae","Ophthalmolepis","lineolatus",NA,3,"-34.134771","114.910241","20200602","10:16","South-west","No-take",NA,"43.9","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (2).MP4","1","1.38194","Labridae","Pseudolabrus","biserialis",NA,2,"-34.134771","114.910241","20200602","10:16","South-west","No-take",NA,"43.9","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (8).MP4","1","51.13775","Monocentrididae","Cleidopus","gloriamaris",NA,2,"-34.134771","114.910241","20200602","10:16","South-west","No-take",NA,"43.9","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (3).MP4","1","13.73483","Myliobatidae","Myliobatis","tenuicaudatus",NA,1,"-34.134771","114.910241","20200602","10:16","South-west","No-take",NA,"43.9","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (5).MP4","1","28.35611","Urolophidae","Trygonoptera","ovalis",NA,1,"-34.134771","114.910241","20200602","10:16","South-west","No-take",NA,"43.9","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","55.92800","Aplodactylidae","Aplodactylus","westralis",NA,1,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","57.97067","Callanthiidae","Callanthias","allporti","check with todd",2,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","1.66133","Carangidae","Seriola","hippos",NA,2,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","44.41067","Cheilodactylidae","Nemadactylus","valenciennesi",NA,1,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","6.66133","Glaucosomatidae","Glaucosoma","hebraicum",NA,2,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","21.57800","Heterodontidae","Heterodontus","portusjacksoni",NA,1,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","10.66133","Labridae","Bodianus","frenchii",NA,2,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","0.35667","Labridae","Choerodon","rubescens",NA,1,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","18.72133","Labridae","Coris","auricularis",NA,17,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","18.61067","Labridae","Notolabrus","parilus",NA,1,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","51.40533","Labridae","Ophthalmolepis","lineolatus",NA,25,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","2.37733","Labridae","Pseudolabrus","biserialis",NA,7,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","54.21533","Monacanthidae","Meuschenia","flavolineata",NA,2,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","27.81800","Monacanthidae","Meuschenia","galii",NA,1,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","13.37667","Neosebastidae","Neosebastes","pandus",NA,1,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","0.00467","Pempherididae","Parapriacanthus","elongatus",NA,600,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","37.06733","Plesiopidae","Paraplesiops","meleagris",NA,1,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","27.83267","Pomacentridae","Chromis","klunzingeri",NA,45,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","18.95067","Pomacentridae","Parma","bicolor",NA,1,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","44.07067","Scorpididae","Neatypus","obliquus",NA,2,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","48.38000","Scorpididae","Scorpis","aequipinnis","Check",2,"-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
