"campaignid","sample","family","genus","species","maxn"
"2020-06_south-west_stereo-BRUVs","01","Carangidae","Pseudocaranx","spp",1
"2020-06_south-west_stereo-BRUVs","01","Labridae","Austrolabrus","maculatus",2
"2020-06_south-west_stereo-BRUVs","01","Labridae","Coris","auricularis",5
"2020-06_south-west_stereo-BRUVs","01","Labridae","Ophthalmolepis","lineolatus",2
"2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",17
"2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",36
"2020-06_south-west_stereo-BRUVs","01","Scorpididae","Tilodon","sexfasciatus",1
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","sp1",13
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Hypoplectrodes","nigroruber",1
"2020-06_south-west_stereo-BRUVs","01","Sparidae","Chrysophrys","auratus",1
"2020-06_south-west_stereo-BRUVs","01","Triakidae","Furgaleus","macki",1
"2020-06_south-west_stereo-BRUVs","02","Carangidae","Seriola","hippos",1
"2020-06_south-west_stereo-BRUVs","02","Carangidae","Seriola","lalandi",1
"2020-06_south-west_stereo-BRUVs","02","Carangidae","Unknown","spp",3
"2020-06_south-west_stereo-BRUVs","02","Gerreidae","Parequula","melbournensis",1
"2020-06_south-west_stereo-BRUVs","02","Labridae","Ophthalmolepis","lineolatus",2
"2020-06_south-west_stereo-BRUVs","02","Labridae","Pseudolabrus","biserialis",10
"2020-06_south-west_stereo-BRUVs","02","Monacanthidae","Meuschenia","galii",1
"2020-06_south-west_stereo-BRUVs","02","Pomacentridae","Chromis","klunzingeri",52
"2020-06_south-west_stereo-BRUVs","02","Scorpididae","Neatypus","obliquus",6
"2020-06_south-west_stereo-BRUVs","02","Serranidae","Caesioperca","sp1",26
"2020-06_south-west_stereo-BRUVs","02","Triakidae","Furgaleus","macki",1
"2020-06_south-west_stereo-BRUVs","03","Gerreidae","Parequula","melbournensis",2
"2020-06_south-west_stereo-BRUVs","03","Glaucosomatidae","Glaucosoma","hebraicum",3
"2020-06_south-west_stereo-BRUVs","03","Labridae","Coris","auricularis",3
"2020-06_south-west_stereo-BRUVs","03","Labridae","Ophthalmolepis","lineolatus",6
"2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",8
"2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",12
"2020-06_south-west_stereo-BRUVs","03","Scorpididae","Neatypus","obliquus",9
"2020-06_south-west_stereo-BRUVs","03","Sparidae","Chrysophrys","auratus",2
"2020-06_south-west_stereo-BRUVs","03","Triakidae","Furgaleus","macki",1
"2020-06_south-west_stereo-BRUVs","04","Aulopidae","Latropiscis","purpurissatus",1
"2020-06_south-west_stereo-BRUVs","04","Carangidae","Pseudocaranx","spp",3
"2020-06_south-west_stereo-BRUVs","04","Cheilodactylidae","Cheilodactylus","gibbosus",3
"2020-06_south-west_stereo-BRUVs","04","Labridae","Coris","auricularis",1
"2020-06_south-west_stereo-BRUVs","04","Labridae","Ophthalmolepis","lineolatus",3
"2020-06_south-west_stereo-BRUVs","04","Labridae","Pseudolabrus","biserialis",1
"2020-06_south-west_stereo-BRUVs","04","Scorpididae","Neatypus","obliquus",10
"2020-06_south-west_stereo-BRUVs","04","Sparidae","Chrysophrys","auratus",3
"2020-06_south-west_stereo-BRUVs","04","Triakidae","Galeorhinus","galeus",1
"2020-06_south-west_stereo-BRUVs","05","Gerreidae","Parequula","melbournensis",7
"2020-06_south-west_stereo-BRUVs","05","Heterodontidae","Heterodontus","portusjacksoni",1
"2020-06_south-west_stereo-BRUVs","05","Labridae","Austrolabrus","maculatus",2
"2020-06_south-west_stereo-BRUVs","05","Labridae","Ophthalmolepis","lineolatus",6
"2020-06_south-west_stereo-BRUVs","05","Labridae","Pseudolabrus","biserialis",4
"2020-06_south-west_stereo-BRUVs","05","Monacanthidae","Acanthaluteres","brownii",1
"2020-06_south-west_stereo-BRUVs","05","Monacanthidae","Scobinichthys","granulatus",1
"2020-06_south-west_stereo-BRUVs","05","Mullidae","Upeneichthys","vlamingii",2
"2020-06_south-west_stereo-BRUVs","05","Myliobatidae","Myliobatis","tenuicaudatus",1
"2020-06_south-west_stereo-BRUVs","05","Oplegnathidae","Oplegnathus","woodwardi",2
"2020-06_south-west_stereo-BRUVs","05","Pempherididae","Pempheris","klunzingeri",37
"2020-06_south-west_stereo-BRUVs","05","Pomacentridae","Chromis","klunzingeri",1
"2020-06_south-west_stereo-BRUVs","05","Scorpididae","Neatypus","obliquus",26
"2020-06_south-west_stereo-BRUVs","05","Tetraodontidae","Omegophora","armilla",1
"2020-06_south-west_stereo-BRUVs","06","Carangidae","Pseudocaranx","spp",1
"2020-06_south-west_stereo-BRUVs","06","Heterodontidae","Heterodontus","portusjacksoni",2
"2020-06_south-west_stereo-BRUVs","06","Labridae","Austrolabrus","maculatus",2
"2020-06_south-west_stereo-BRUVs","06","Labridae","Coris","auricularis",4
"2020-06_south-west_stereo-BRUVs","06","Labridae","Eupetrichthys","angustipes",1
"2020-06_south-west_stereo-BRUVs","06","Labridae","Ophthalmolepis","lineolatus",4
"2020-06_south-west_stereo-BRUVs","06","Labridae","Pseudolabrus","biserialis",5
"2020-06_south-west_stereo-BRUVs","06","Odacidae","Siphonognathus","caninis",1
"2020-06_south-west_stereo-BRUVs","06","Oplegnathidae","Oplegnathus","woodwardi",1
"2020-06_south-west_stereo-BRUVs","06","Scorpididae","Neatypus","obliquus",1
"2020-06_south-west_stereo-BRUVs","06","Triakidae","Mustelus","antarcticus",1
"2020-06_south-west_stereo-BRUVs","06","Rhinobatidae","Trygonorrhina","dumerilii",2
"2020-06_south-west_stereo-BRUVs","07","Heterodontidae","Heterodontus","portusjacksoni",2
"2020-06_south-west_stereo-BRUVs","07","Labridae","Austrolabrus","maculatus",3
"2020-06_south-west_stereo-BRUVs","07","Labridae","Coris","auricularis",7
"2020-06_south-west_stereo-BRUVs","07","Labridae","Eupetrichthys","angustipes",1
"2020-06_south-west_stereo-BRUVs","07","Labridae","Ophthalmolepis","lineolatus",3
"2020-06_south-west_stereo-BRUVs","07","Labridae","Pseudolabrus","biserialis",2
"2020-06_south-west_stereo-BRUVs","07","Monocentridae","Cleidopus","gloriamaris",2
"2020-06_south-west_stereo-BRUVs","07","Myliobatidae","Myliobatis","tenuicaudatus",1
"2020-06_south-west_stereo-BRUVs","07","Urolophidae","Trygonoptera","ovalis",1
"2020-06_south-west_stereo-BRUVs","08","Aplodactylidae","Aplodactylus","westralis",1
"2020-06_south-west_stereo-BRUVs","08","Callanthiidae","Callanthias","allporti",2
"2020-06_south-west_stereo-BRUVs","08","Carangidae","Seriola","hippos",2
"2020-06_south-west_stereo-BRUVs","08","Cheilodactylidae","Nemadactylus","valenciennesi",1
"2020-06_south-west_stereo-BRUVs","08","Glaucosomatidae","Glaucosoma","hebraicum",2
"2020-06_south-west_stereo-BRUVs","08","Heterodontidae","Heterodontus","portusjacksoni",1
"2020-06_south-west_stereo-BRUVs","08","Labridae","Bodianus","frenchii",2
"2020-06_south-west_stereo-BRUVs","08","Labridae","Choerodon","rubescens",1
"2020-06_south-west_stereo-BRUVs","08","Labridae","Coris","auricularis",17
"2020-06_south-west_stereo-BRUVs","08","Labridae","Notolabrus","parilus",1
"2020-06_south-west_stereo-BRUVs","08","Labridae","Ophthalmolepis","lineolatus",25
"2020-06_south-west_stereo-BRUVs","08","Labridae","Pseudolabrus","biserialis",7
"2020-06_south-west_stereo-BRUVs","08","Monacanthidae","Meuschenia","flavolineata",2
"2020-06_south-west_stereo-BRUVs","08","Monacanthidae","Meuschenia","galii",1
"2020-06_south-west_stereo-BRUVs","08","Neosebastidae","Neosebastes","pandus",1
"2020-06_south-west_stereo-BRUVs","08","Pempheridae","Parapriacanthus","elongatus",600
"2020-06_south-west_stereo-BRUVs","08","Plesiopidae","Paraplesiops","meleagris",1
"2020-06_south-west_stereo-BRUVs","08","Pomacentridae","Chromis","klunzingeri",45
"2020-06_south-west_stereo-BRUVs","08","Pomacentridae","Parma","bicolor",1
"2020-06_south-west_stereo-BRUVs","08","Scorpididae","Neatypus","obliquus",2
"2020-06_south-west_stereo-BRUVs","08","Scorpididae","Scorpis","aequipinnis",2
"2020-06_south-west_stereo-BRUVs","08","Scorpididae","Scorpis","georgiana",1
"2020-06_south-west_stereo-BRUVs","08","Scorpididae","Tilodon","sexfasciatus",2
"2020-06_south-west_stereo-BRUVs","08","Serranidae","Epinephelides","armatus",1
"2020-06_south-west_stereo-BRUVs","08","Serranidae","Hypoplectrodes","nigroruber",1
"2020-06_south-west_stereo-BRUVs","08","Sparidae","Chrysophrys","auratus",6
"2020-06_south-west_stereo-BRUVs","09","Gerreidae","Parequula","melbournensis",2
"2020-06_south-west_stereo-BRUVs","09","Labridae","Austrolabrus","maculatus",1
"2020-06_south-west_stereo-BRUVs","09","Labridae","Coris","auricularis",1
"2020-06_south-west_stereo-BRUVs","09","Labridae","Eupetrichthys","angustipes",1
"2020-06_south-west_stereo-BRUVs","09","Labridae","Ophthalmolepis","lineolatus",5
"2020-06_south-west_stereo-BRUVs","09","Labridae","Pseudolabrus","biserialis",3
"2020-06_south-west_stereo-BRUVs","09","Mullidae","Upeneichthys","vlamingii",1
"2020-06_south-west_stereo-BRUVs","09","Myliobatidae","Myliobatis","tenuicaudatus",1
"2020-06_south-west_stereo-BRUVs","09","Pomacentridae","Chromis","klunzingeri",4
"2020-06_south-west_stereo-BRUVs","09","Scorpididae","Neatypus","obliquus",15
"2020-06_south-west_stereo-BRUVs","09","Serranidae","Caesioperca","sp1",11
"2020-06_south-west_stereo-BRUVs","09","Rhinobatidae","Trygonorrhina","dumerilii",1
"2020-06_south-west_stereo-BRUVs","10","Batrachoididae","Batrachomoeus","rubricephalus",1
"2020-06_south-west_stereo-BRUVs","10","Carangidae","Pseudocaranx","spp",2
"2020-06_south-west_stereo-BRUVs","10","Cheilodactylidae","Nemadactylus","valenciennesi",1
"2020-06_south-west_stereo-BRUVs","10","Labridae","Achoerodus","gouldii",1
"2020-06_south-west_stereo-BRUVs","10","Labridae","Austrolabrus","maculatus",1
"2020-06_south-west_stereo-BRUVs","10","Labridae","Choerodon","rubescens",1
"2020-06_south-west_stereo-BRUVs","10","Labridae","Coris","auricularis",9
"2020-06_south-west_stereo-BRUVs","10","Labridae","Ophthalmolepis","lineolatus",4
"2020-06_south-west_stereo-BRUVs","10","Labridae","Pseudolabrus","biserialis",10
"2020-06_south-west_stereo-BRUVs","10","Monacanthidae","Meuschenia","freycineti",1
"2020-06_south-west_stereo-BRUVs","10","Myliobatidae","Myliobatis","tenuicaudatus",1
"2020-06_south-west_stereo-BRUVs","10","Scorpididae","Neatypus","obliquus",1
"2020-06_south-west_stereo-BRUVs","10","Scorpididae","Tilodon","sexfasciatus",1
"2020-06_south-west_stereo-BRUVs","11","Gerreidae","Parequula","melbournensis",2
"2020-06_south-west_stereo-BRUVs","11","Heterodontidae","Heterodontus","portusjacksoni",2
"2020-06_south-west_stereo-BRUVs","11","Labridae","Achoerodus","gouldii",1
"2020-06_south-west_stereo-BRUVs","11","Labridae","Austrolabrus","maculatus",1
"2020-06_south-west_stereo-BRUVs","11","Labridae","Coris","auricularis",3
"2020-06_south-west_stereo-BRUVs","11","Labridae","Ophthalmolepis","lineolatus",3
"2020-06_south-west_stereo-BRUVs","11","Labridae","Pseudolabrus","biserialis",6
"2020-06_south-west_stereo-BRUVs","11","Myliobatidae","Myliobatis","tenuicaudatus",1
"2020-06_south-west_stereo-BRUVs","11","Pomacentridae","Chromis","klunzingeri",53
"2020-06_south-west_stereo-BRUVs","11","Scorpididae","Neatypus","obliquus",4
"2020-06_south-west_stereo-BRUVs","11","Serranidae","Caesioperca","sp1",3
"2020-06_south-west_stereo-BRUVs","12","Carangidae","Seriola","hippos",1
"2020-06_south-west_stereo-BRUVs","12","Cheilodactylidae","Nemadactylus","valenciennesi",2
"2020-06_south-west_stereo-BRUVs","12","Kyphosidae","Kyphosus","sydneyanus",1
"2020-06_south-west_stereo-BRUVs","12","Labridae","Bodianus","frenchii",1
"2020-06_south-west_stereo-BRUVs","12","Labridae","Choerodon","rubescens",1
"2020-06_south-west_stereo-BRUVs","12","Labridae","Coris","auricularis",1
"2020-06_south-west_stereo-BRUVs","12","Labridae","Ophthalmolepis","lineolatus",4
"2020-06_south-west_stereo-BRUVs","12","Labridae","Pseudolabrus","biserialis",3
"2020-06_south-west_stereo-BRUVs","12","Monacanthidae","Meuschenia","flavolineata",1
"2020-06_south-west_stereo-BRUVs","12","Monacanthidae","Meuschenia","galii",1
"2020-06_south-west_stereo-BRUVs","12","Myliobatidae","Myliobatis","tenuicaudatus",1
"2020-06_south-west_stereo-BRUVs","12","Orectolobidae","Orectolobus","maculatus",1
"2020-06_south-west_stereo-BRUVs","12","Pomacentridae","Parma","bicolor",1
"2020-06_south-west_stereo-BRUVs","12","Scorpaenidae","Scorpaena","sumptuosa",1
"2020-06_south-west_stereo-BRUVs","12","Scorpididae","Neatypus","obliquus",17
"2020-06_south-west_stereo-BRUVs","12","Serranidae","Epinephelides","armatus",3
"2020-06_south-west_stereo-BRUVs","12","Sparidae","Chrysophrys","auratus",5
"2020-06_south-west_stereo-BRUVs","12","Triakidae","Furgaleus","macki",1
"2020-06_south-west_stereo-BRUVs","13","Carangidae","Seriola","hippos",1
"2020-06_south-west_stereo-BRUVs","13","Cheilodactylidae","Nemadactylus","valenciennesi",1
"2020-06_south-west_stereo-BRUVs","13","Dasyatidae","Bathytoshia","brevicaudata",1
"2020-06_south-west_stereo-BRUVs","13","Labridae","Austrolabrus","maculatus",1
"2020-06_south-west_stereo-BRUVs","13","Labridae","Coris","auricularis",4
"2020-06_south-west_stereo-BRUVs","13","Labridae","Ophthalmolepis","lineolatus",1
"2020-06_south-west_stereo-BRUVs","13","Labridae","Pseudolabrus","biserialis",9
"2020-06_south-west_stereo-BRUVs","13","Monacanthidae","Meuschenia","flavolineata",1
"2020-06_south-west_stereo-BRUVs","13","Pomacentridae","Parma","bicolor",1
"2020-06_south-west_stereo-BRUVs","13","Serranidae","Caesioperca","rasor",3
"2020-06_south-west_stereo-BRUVs","13","Serranidae","Epinephelides","armatus",1
"2020-06_south-west_stereo-BRUVs","13","Serranidae","Hypoplectrodes","nigroruber",1
"2020-06_south-west_stereo-BRUVs","13","Triakidae","Furgaleus","macki",1
"2020-06_south-west_stereo-BRUVs","13","Urolophidae","Trygonoptera","ovalis",1
"2020-06_south-west_stereo-BRUVs","14","Carcharhinidae","Carcharhinus","brevipinna",2
"2020-06_south-west_stereo-BRUVs","14","Cheilodactylidae","Nemadactylus","valenciennesi",2
"2020-06_south-west_stereo-BRUVs","14","Glaucosomatidae","Glaucosoma","hebraicum",3
"2020-06_south-west_stereo-BRUVs","14","Labridae","Coris","auricularis",6
"2020-06_south-west_stereo-BRUVs","14","Labridae","Ophthalmolepis","lineolatus",8
"2020-06_south-west_stereo-BRUVs","14","Labridae","Pseudolabrus","biserialis",5
"2020-06_south-west_stereo-BRUVs","14","Pempherididae","Pempheris","klunzingeri",148
"2020-06_south-west_stereo-BRUVs","14","Plesiopidae","Trachinops","noarlungae",10
"2020-06_south-west_stereo-BRUVs","14","Pomacentridae","Chromis","klunzingeri",22
"2020-06_south-west_stereo-BRUVs","14","Scorpididae","Neatypus","obliquus",5
"2020-06_south-west_stereo-BRUVs","14","Scorpididae","Scorpis","georgiana",1
"2020-06_south-west_stereo-BRUVs","14","Scorpididae","Tilodon","sexfasciatus",1
"2020-06_south-west_stereo-BRUVs","14","Serranidae","Caesioperca","rasor",3
"2020-06_south-west_stereo-BRUVs","14","Serranidae","Epinephelides","armatus",1
"2020-06_south-west_stereo-BRUVs","14","Sparidae","Chrysophrys","auratus",2
"2020-06_south-west_stereo-BRUVs","15","Carangidae","Pseudocaranx","spp",6
"2020-06_south-west_stereo-BRUVs","15","Cheilodactylidae","Nemadactylus","valenciennesi",1
"2020-06_south-west_stereo-BRUVs","15","Labridae","Choerodon","rubescens",1
"2020-06_south-west_stereo-BRUVs","15","Labridae","Coris","auricularis",6
"2020-06_south-west_stereo-BRUVs","15","Labridae","Ophthalmolepis","lineolatus",4
"2020-06_south-west_stereo-BRUVs","15","Labridae","Pseudolabrus","biserialis",9
"2020-06_south-west_stereo-BRUVs","15","Muraenidae","Gymnothorax","prasinus",1
"2020-06_south-west_stereo-BRUVs","15","Pomacentridae","Chromis","klunzingeri",1
"2020-06_south-west_stereo-BRUVs","15","Scorpididae","Scorpis","aequipinnis",1
"2020-06_south-west_stereo-BRUVs","15","Serranidae","Caesioperca","rasor",2
"2020-06_south-west_stereo-BRUVs","15","Serranidae","Epinephelides","armatus",1
"2020-06_south-west_stereo-BRUVs","15","Triakidae","Furgaleus","macki",1
"2020-06_south-west_stereo-BRUVs","15","Triakidae","Mustelus","antarcticus",1
"2020-06_south-west_stereo-BRUVs","15","Rhinobatidae","Trygonorrhina","dumerilii",1
"2020-06_south-west_stereo-BRUVs","16","Berycidae","Centroberyx","lineatus",1
"2020-06_south-west_stereo-BRUVs","16","Cheilodactylidae","Nemadactylus","valenciennesi",2
"2020-06_south-west_stereo-BRUVs","16","Haemulidae","Plectorhinchus","flavomaculatus",1
"2020-06_south-west_stereo-BRUVs","16","Labridae","Bodianus","frenchii",1
"2020-06_south-west_stereo-BRUVs","16","Labridae","Coris","auricularis",6
"2020-06_south-west_stereo-BRUVs","16","Labridae","Ophthalmolepis","lineolatus",9
"2020-06_south-west_stereo-BRUVs","16","Labridae","Pseudolabrus","biserialis",14
"2020-06_south-west_stereo-BRUVs","16","Monacanthidae","Meuschenia","flavolineata",2
"2020-06_south-west_stereo-BRUVs","16","Monacanthidae","Meuschenia","galii",1
"2020-06_south-west_stereo-BRUVs","16","Myliobatidae","Myliobatis","tenuicaudatus",1
"2020-06_south-west_stereo-BRUVs","16","Oplegnathidae","Oplegnathus","woodwardi",1
"2020-06_south-west_stereo-BRUVs","16","Pomacentridae","Chromis","klunzingeri",33
"2020-06_south-west_stereo-BRUVs","16","Scorpididae","Scorpis","aequipinnis",1
"2020-06_south-west_stereo-BRUVs","16","Scorpididae","Scorpis","georgiana",1
"2020-06_south-west_stereo-BRUVs","16","Serranidae","Epinephelides","armatus",1
"2020-06_south-west_stereo-BRUVs","16","Sparidae","Chrysophrys","auratus",4
"2020-06_south-west_stereo-BRUVs","16","Rhinobatidae","Trygonorrhina","dumerilii",1
"2020-06_south-west_stereo-BRUVs","17","Carangidae","Pseudocaranx","spp",1
"2020-06_south-west_stereo-BRUVs","17","Carcharhinidae","Carcharhinus","brevipinna",1
"2020-06_south-west_stereo-BRUVs","17","Cheilodactylidae","Nemadactylus","valenciennesi",1
"2020-06_south-west_stereo-BRUVs","17","Gerreidae","Parequula","melbournensis",3
"2020-06_south-west_stereo-BRUVs","17","Labridae","Coris","auricularis",8
"2020-06_south-west_stereo-BRUVs","17","Labridae","Eupetrichthys","angustipes",1
"2020-06_south-west_stereo-BRUVs","17","Labridae","Ophthalmolepis","lineolatus",9
"2020-06_south-west_stereo-BRUVs","17","Labridae","Pseudolabrus","biserialis",12
"2020-06_south-west_stereo-BRUVs","17","Labridae","Unknown","spp",1
"2020-06_south-west_stereo-BRUVs","17","Monacanthidae","Meuschenia","flavolineata",1
"2020-06_south-west_stereo-BRUVs","17","Myliobatidae","Myliobatis","tenuicaudatus",1
"2020-06_south-west_stereo-BRUVs","17","Scorpididae","Neatypus","obliquus",1
"2020-06_south-west_stereo-BRUVs","17","Scorpididae","Scorpis","aequipinnis",1
"2020-06_south-west_stereo-BRUVs","17","Scorpididae","Scorpis","georgiana",1
"2020-06_south-west_stereo-BRUVs","17","Serranidae","Caesioperca","sp1",1
"2020-06_south-west_stereo-BRUVs","17","Serranidae","Epinephelides","armatus",1
"2020-06_south-west_stereo-BRUVs","17","Sparidae","Chrysophrys","auratus",9
"2020-06_south-west_stereo-BRUVs","17","Triakidae","Furgaleus","macki",1
"2020-06_south-west_stereo-BRUVs","17","Rhinobatidae","Trygonorrhina","dumerilii",1
"2020-06_south-west_stereo-BRUVs","17","Urolophidae","Trygonoptera","ovalis",1
"2020-06_south-west_stereo-BRUVs","18","Carangidae","Seriola","hippos",1
"2020-06_south-west_stereo-BRUVs","18","Cheilodactylidae","Nemadactylus","valenciennesi",1
"2020-06_south-west_stereo-BRUVs","18","Dasyatidae","Bathytoshia","brevicaudata",1
"2020-06_south-west_stereo-BRUVs","18","Labridae","Coris","auricularis",9
"2020-06_south-west_stereo-BRUVs","18","Labridae","Ophthalmolepis","lineolatus",9
"2020-06_south-west_stereo-BRUVs","18","Labridae","Pseudolabrus","biserialis",6
"2020-06_south-west_stereo-BRUVs","18","Monacanthidae","Meuschenia","galii",1
"2020-06_south-west_stereo-BRUVs","18","Plesiopidae","Trachinops","noarlungae",8
"2020-06_south-west_stereo-BRUVs","18","Pomacentridae","Chromis","klunzingeri",23
"2020-06_south-west_stereo-BRUVs","18","Scorpididae","Neatypus","obliquus",23
"2020-06_south-west_stereo-BRUVs","18","Scorpididae","Tilodon","sexfasciatus",1
"2020-06_south-west_stereo-BRUVs","18","Serranidae","Epinephelides","armatus",1
