X,Y,class,BRUVid
114.77887207000001,-34.078688965,MBH,1
114.78637207000001,-34.086188965,MBH,2
114.78387207000002,-34.076188965,MBH,3
114.78137207,-34.091188965,MBH,4
114.77637207000001,-34.088688965,MBH,5
114.49387207000001,-34.148688965,MBH,6
114.48887207000001,-34.138688965,MBH,7
114.48637207,-34.14618896499999,MBH,8
114.48387207,-34.138688965,MBH,9
114.77387207000001,-34.143688965,MBH,10
114.75887207000001,-34.138688965,MBH,377
114.76637207000002,-34.133688965,MBH,62
114.76387207000001,-34.146188965,MBH,61
114.76887207000001,-34.146188965,MBH,60
114.76637207000002,-34.141188965,MBH,59
114.77387207000001,-34.136188965,MBH,58
114.70637207000001,-34.061188965,MBH,49
114.70387207000002,-34.068688965,MBH,48
114.71137207000001,-34.063688965,MBH,47
114.71137207000001,-34.068688965,MBH,46
114.69637207000001,-34.063688965,MBH,45
114.49137207000001,-34.126188965,MBH,44
114.48137207000001,-34.121188965,MBH,43
114.47887207000001,-34.131188965,MBH,42
114.48637207000002,-34.126188965,MBH,57
114.48887207000001,-34.118688965,MBH,56
114.59887207000001,-34.093688965,MBH,55
114.59387207,-34.088688965,MBH,54
114.60137207000001,-34.083688965,MBH,53
114.59137207000001,-34.093688965,MBH,52
114.59887207000001,-34.088688965,MBH,51
114.59637207,-34.083688965,MBH,50
114.60387207000001,-34.091188965,MBH,33
114.58887207000001,-34.086188965,MBH,32
114.90887207000002,-34.131188965,MBH,31
114.90637207,-34.126188965,MBH,30
114.89887207000001,-34.133688965,MBH,29
114.50137207,-34.091188965,MBH,28
114.50887207000001,-34.098688965,MBH,28
114.50637207000001,-34.088688965,MBH,27
114.50637207000001,-34.093688965,MBH,41
114.71387207000001,-34.103688965,MBH,40
114.72137207,-34.098688965,MBH,39
114.71137207,-34.096188965,MBH,38
114.71887207,-34.108688965,MBH,37
114.71887207,-34.103688965,MBH,36
114.86387207,-34.066188965,MBH,35
114.87137207000001,-34.061188965,MBH,34
114.86887207000001,-34.068688965,MBH,18
114.87637207,-34.063688965,MBH,17
114.86887207000001,-34.073688965,MBH,16
114.86637207,-34.061188965,MBH,15
114.87387207,-34.071188965,MBH,14
114.47887207,-34.101188965,MBH,13
114.47387207,-34.103688965,MBH,12
114.48637207,-34.101188965,MBH,11
114.48387207,-34.111188965,MBH,26
114.47887207,-34.111188965,MBH,25
114.52137207000001,-34.141188965,MBH,24
114.51887207,-34.136188965,MBH,23
114.52137207000001,-34.128688965,MBH,22
114.52887207000001,-34.138688965,MBH,21
114.51637207,-34.131188965,MBH,20
114.52887207000001,-34.128688965,MBH,19
114.51387207000001,-34.136188965,MBH,118
114.73887207,-34.063688965,MBH,117
114.74637207000001,-34.058688965,MBH,116
114.73637207,-34.053688965,MBH,115
114.74387207000001,-34.063688965,MBH,114
114.73887207,-34.058688965,MBH,113
114.74637207000001,-34.053688965,MBH,112
114.74137207000001,-34.051188965,MBH,111
114.81887207,-34.113688965,MBH,126
114.82637207000001,-34.108688965,MBH,125
114.81887207,-34.118688965,MBH,124
114.81887207,-34.106188965,MBH,123
114.82637207000001,-34.116188965,MBH,122
114.89887207,-34.068688965,MBH,121
114.90637207,-34.081188965,MBH,120
114.90387207000001,-34.076188965,MBH,119
114.91137207,-34.071188965,MBH,102
114.89637207,-34.078688965,MBH,101
114.90887207,-34.076188965,MBH,100
114.90637207,-34.066188965,MBH,99
114.73137207,-34.133688965,MBH,98
114.72887207,-34.128688965,MBH,97
114.73637207,-34.136188965,MBH,96
114.73387207,-34.126188965,MBH,95
114.72887207,-34.141188965,MBH,110
114.67387207000002,-34.056188965,MBH,109
114.66887207000001,-34.051188965,MBH,108
114.67637207000001,-34.063688965,MBH,107
114.66387207000001,-34.058688965,MBH,106
114.66887207000001,-34.063688965,MBH,105
114.50887207,-34.111188965,MBH,104
114.51637207,-34.106188965,MBH,103
114.51387207,-34.113688965,MBH,86
114.52137207,-34.108688965,MBH,85
114.51137207,-34.106188965,MBH,84
114.51887207,-34.113688965,MBH,83
114.88387207,-34.103688965,MBH,82
114.89137207,-34.098688965,MBH,81
114.88887207,-34.093688965,MBH,80
114.89637207,-34.101188965,MBH,79
114.88137207,-34.096188965,MBH,94
114.89137207,-34.103688965,MBH,93
114.88637207,-34.098688965,MBH,92
114.89387207,-34.093688965,MBH,91
114.92387207000002,-34.123688965,MBH,90
114.92887207000001,-34.131188965,MBH,89
114.48887207000001,-34.011188965,MBH,88
114.48387207,-34.013688965,MBH,87
114.48887207000001,-34.003688965,MBH,70
114.88387207,-34.023688965,MBH,69
114.89137207,-34.018688965,MBH,68
114.89637207,-34.021188965,MBH,67
114.88137207,-34.016188965,MBH,66
114.88887207,-34.011188965,MBH,65
114.89637207,-34.013688965,MBH,64
114.47387207000001,-34.011188965,MBH,63
114.46887207,-34.016188965,MBH,78
114.46637207000001,-34.011188965,MBH,77
114.46887207,-34.023688965,MBH,76
114.85387207000001,-34.033688965,MBH,75
114.85137207,-34.028688965,MBH,74
114.85887207,-34.028688965,MBH,73
114.84637207,-34.036188965,MBH,72
114.69887207,-34.003688965,MBH,71
114.69387207,-33.993688965,MBH,182
114.69887207,-33.988688965,MBH,181
114.70387207,-33.996188965,MBH,180
114.73387207,-34.023688965,MBH,179
114.72387207,-34.018688965,MBH,178
114.73137207000001,-34.013688965,MBH,177
114.72887207,-34.028688965,MBH,176
114.67637207000001,-33.988688965,MBH,175
114.66387207000001,-33.996188965,MBH,194
114.67137207000002,-33.991188965,MBH,193
114.66887207000001,-33.986188965,MBH,192
114.67137207000002,-33.998688965,MBH,191
114.67887207000001,-33.993688965,MBH,190
114.66387207000001,-33.988688965,MBH,189
114.90387207000001,-34.041188965,MBH,184
114.91137207000001,-34.036188965,MBH,183
114.90887207000002,-34.046188965,MBH,166
114.89887207000001,-34.043688965,MBH,165
114.90387207000001,-34.033688965,MBH,164
114.82887207,-34.001188965,MBH,163
114.83637207000001,-33.996188965,MBH,162
114.83137207,-34.008688965,MBH,161
114.83887207000001,-34.003688965,MBH,160
114.83387207000001,-34.001188965,MBH,159
114.84137207000001,-33.996188965,MBH,174
114.83137207,-33.993688965,MBH,173
114.47137207,-33.983688965,MBH,172
114.47137207,-33.988688965,MBH,171
114.47637207000001,-33.991188965,MBH,170
114.47637207000001,-33.986188965,MBH,169
114.46387207000001,-33.981188965,MBH,168
114.58387207,-34.008688965,MBH,167
114.59137207000001,-34.003688965,MBH,150
114.58137207,-34.001188965,MBH,149
114.59637207,-34.011188965,MBH,148
114.83137207,-33.981188965,MBH,147
114.82137207,-33.976188965,MBH,146
114.82387207,-33.986188965,MBH,145
114.82637207,-33.978688965,MBH,144
114.83387207,-33.973688965,MBH,143
114.81887207,-33.981188965,MBH,158
114.82387207,-33.971188965,MBH,157
114.87637207,-34.048688965,MBH,156
114.88387207,-34.043688965,MBH,155
114.88137207,-34.051188965,MBH,154
114.88887207000001,-34.046188965,MBH,153
114.86887207000001,-33.981188965,MBH,152
114.87637207,-33.988688965,MBH,151
114.86137207,-33.983688965,MBH,134
114.86637207,-33.991188965,MBH,133
114.87137207000001,-33.991188965,MBH,132
114.86887207000001,-33.986188965,MBH,131
114.87637207,-33.981188965,MBH,130
114.69637207000001,-33.973688965,MBH,129
114.69137207,-33.976188965,MBH,128
114.68887207,-33.971188965,MBH,127
114.69637207000001,-33.978688965,MBH,142
114.69387207000001,-33.968688965,MBH,141
114.69137207,-33.983688965,MBH,140
114.48887207000001,-34.031188965,MBH,139
114.48637207000002,-34.026188965,MBH,138
114.49387207000001,-34.033688965,MBH,137
114.47887207000001,-34.028688965,MBH,136
114.48387207,-34.033688965,MBH,135
114.48137207000001,-34.023688965,MBH,249
114.48887207000001,-34.036188965,MBH,248
114.47887207000001,-34.033688965,MBH,247
114.89387207,-34.001188965,MBH,246
114.90137207000001,-34.008688965,MBH,245
114.90637207,-34.003688965,MBH,244
114.52887207000001,-34.043688965,MBH,243
114.53637207000001,-34.038688965,MBH,242
114.52637207000001,-34.033688965,MBH,257
114.53887207000001,-34.043688965,MBH,256
114.52387207000001,-34.038688965,MBH,255
114.69637207,-34.018688965,MBH,254
114.70387207,-34.013688965,MBH,253
114.69387207,-34.008688965,MBH,252
114.69887207,-34.011188965,MBH,251
114.69387207,-34.013688965,MBH,250
114.48637207,-33.993688965,MBH,234
114.49387207000001,-33.988688965,MBH,233
114.49137207,-33.996188965,MBH,232
114.49887207,-33.991188965,MBH,231
114.48887207,-33.986188965,MBH,230
114.78637207,-33.993688965,MBH,229
114.79387207000001,-34.003688965,MBH,228
114.78387207,-33.998688965,MBH,227
114.79137207000001,-33.993688965,MBH,241
114.78137207,-34.003688965,MBH,240
114.93137207000001,-34.091188965,Legacy,239
114.92887207000001,-34.086188965,Legacy,238
114.93637207,-34.081188965,Legacy,237
114.92387207,-34.081188965,Legacy,236
114.93637207,-34.091188965,Legacy,235
114.91387207,-34.066188965,Legacy,235
114.92137207,-34.073688965,Legacy,218
114.91887207,-34.066188965,Legacy,217
114.91637207,-34.061188965,Legacy,216
114.92637207,-34.068688965,Legacy,215
114.91137207,-34.053688965,Legacy,214
114.91137207,-34.058688965,Legacy,213
114.91637207000001,-34.048688965,Legacy,212
114.90637207,-34.056188965,Legacy,211
114.84387207,-34.063688965,Legacy,226
114.83387207,-34.071188965,Legacy,225
114.83887207000001,-34.061188965,Legacy,224
114.84637207,-34.071188965,Legacy,223
114.83137207,-34.066188965,Legacy,222
114.83637207,-34.066188965,Legacy,221
114.84387207,-34.056188965,Legacy,220
114.83387207,-34.051188965,Legacy,219
114.84387207,-34.048688965,Legacy,202
114.83387207,-34.056188965,Legacy,201
114.83887207000001,-34.046188965,Legacy,200
114.86137207,-34.086188965,Legacy,199
114.86887207000001,-34.096188965,Legacy,198
114.86387207,-34.091188965,Legacy,197
114.87137207000001,-34.086188965,Legacy,196
114.85887207,-34.093688965,Legacy,195
114.87387207,-34.091188965,Legacy,210
114.79137207,-34.071188965,Legacy,209
114.79887207,-34.066188965,Legacy,208
114.78637207,-34.061188965,Legacy,207
114.79137207,-34.063688965,Legacy,206
114.80137207,-34.071188965,Legacy,205
114.78637207,-34.066188965,Legacy,204
114.77137207,-34.063688965,Legacy,203
114.77887207000001,-34.058688965,Legacy,312
114.77637207000001,-34.066188965,Legacy,312
114.76887207,-34.056188965,Legacy,311
114.77387207,-34.058688965,Legacy,310
114.72137207,-34.116188965,Legacy,309
114.72887207000001,-34.111188965,Legacy,308
114.72637207,-34.118688965,Legacy,307
114.73387207000002,-34.101188965,Legacy,306
114.72637207000001,-34.098688965,Legacy,320
114.73137207000001,-34.093688965,Legacy,319
114.74137207000001,-34.093688965,Legacy,318
114.72637207000001,-34.091188965,Legacy,317
114.73637207000002,-34.091188965,Legacy,316
114.75137207000002,-34.093688965,Legacy,315
114.74887207,-34.101188965,Legacy,314
114.75637207000001,-34.096188965,Legacy,313
114.74887207,-34.106188965,Legacy,297
114.74637207000001,-34.093688965,Legacy,296
114.75387207000001,-34.103688965,Legacy,295
114.75387207,-34.083688965,Legacy,294
114.75887207000001,-34.088688965,Legacy,293
114.74887207,-34.083688965,Legacy,291
114.71887207,-34.068688965,Legacy,290
114.72637207,-34.063688965,Legacy,289
114.72387207,-34.058688965,Legacy,305
114.73137207000001,-34.066188965,Legacy,304
114.72887207000001,-34.056188965,Legacy,303
114.72387207,-34.071188965,Legacy,302
114.68137207000001,-34.078688965,Legacy,301
114.66887207000001,-34.086188965,Legacy,300
114.67637207000001,-34.081188965,Legacy,299
114.67137207,-34.076188965,Legacy,298
114.67387207000002,-34.088688965,Legacy,280
114.68137207000001,-34.083688965,Legacy,379
114.66637207000001,-34.078688965,Legacy,279
114.63887207000001,-34.111188965,Legacy,278
114.64637207000001,-34.106188965,Legacy,277
114.63637207000001,-34.101188965,Legacy,276
114.64637207000001,-34.098688965,Legacy,275
114.47637207,-34.091188965,Legacy,274
114.48137207000001,-34.091188965,Legacy,288
114.47387207,-34.078688965,Legacy,287
114.47887207000001,-34.078688965,Legacy,286
114.47637207,-34.073688965,Legacy,285
114.47637207,-34.066188965,Legacy,284
114.53637207,-34.138688965,Legacy,283
114.54387207000001,-34.14618896499999,Legacy,282
114.54137207000001,-34.138688965,Legacy,281
114.53637207,-34.148688965,Legacy,265
114.87387207,-34.01868896500001,Legacy,264
114.87887207,-34.008688965,Legacy,263
114.87387207,-34.013688965,Legacy,262
114.92137207000002,-33.976188965,Legacy,261
114.91637207000001,-33.971188965,Legacy,260
114.92137207000002,-33.968688965,Legacy,259
114.91387207000001,-33.966188965,Legacy,258
114.82137207,-33.998688965,Legacy,273
114.81387207,-34.008688965,Legacy,272
114.82137207,-33.993688965,Legacy,271
114.82887207,-33.988688965,Legacy,270
114.81387207,-33.988688965,Legacy,269
114.75637207,-34.031188965,Legacy,268
114.76387207000001,-34.026188965,Legacy,267
114.75887207,-34.021188965,Legacy,266
114.76637207,-34.033688965,Legacy,368
114.76137207,-34.033688965,Legacy,367
114.76887207,-34.028688965,Legacy,366
114.75387207,-34.023688965,Legacy,365
114.68887207,-34.008688965,Legacy,364
114.75137207,-33.986188965,Legacy,363
114.74387207000001,-33.993688965,Legacy,362
114.74137207,-33.988688965,Legacy,361
114.74887207,-33.996188965,Legacy,375
114.74637207000001,-33.986188965,Legacy,374
114.73887207,-33.996188965,Legacy,373
114.64387207000001,-34.006188965,Legacy,372
114.63887207000001,-34.001188965,Legacy,371
114.64637207000001,-33.996188965,Legacy,370
114.63887207000001,-33.993688965,Legacy,378
114.59137207000001,-34.028688965,Legacy,369
114.59887207,-34.036188965,Legacy,352
114.59637207,-34.031188965,Legacy,351
114.60387207000001,-34.026188965,Legacy,350
114.59637207,-34.023688965,Legacy,349
114.54637207,-34.033688965,Legacy,348
114.54137207,-34.028688965,Legacy,347
114.54637207,-34.026188965,Legacy,346
114.55137207,-34.028688965,Legacy,345
114.47137207,-34.043688965,Legacy,360
114.46887207,-34.053688965,Legacy,359
114.47637207000001,-34.046188965,Legacy,358
114.928,-34.084966666666702,Deans,357
114.918466666667,-34.069566666666702,Deans,356
114.9111,-34.054733333333303,Deans,355
114.84,-34.06605,Deans,354
114.83906666666699,-34.054366666666702,Deans,353
114.86636666666701,-34.0924,Deans,336
114.793983333333,-34.066866666666698,Deans,335
114.775366666667,-34.06155,Deans,334
114.72513333333301,-34.113016666666702,Deans,333
114.734483333333,-34.097183333333298,Deans,332
114.75005,-34.0984,Deans,331
114.7545,-34.088333333333303,Deans,330
114.726633333333,-34.064816666666701,Deans,329
114.6744,-34.0844,Deans,344
114.640716666667,-34.102616666666698,Deans,343
114.47515,-34.0958166666667,Deans,342
114.47755,-34.072466666666699,Deans,341
114.537783333333,-34.1430333333333,Deans,340
114.8785,-34.014616666666697,Deans,339
114.92245,-33.9723166666667,Deans,338
114.82023333333299,-34.005366666666703,Deans,337
114.821366666667,-33.993566666666702,Deans,328
114.76238333333301,-34.0294666666667,Deans,327
114.68928333333299,-34.00425,Deans,326
114.7443,-33.99175,Deans,325
114.6406,-33.998366666666698,Deans,324
114.6001,-34.031033333333298,Deans,323
114.543883333333,-34.032733333333297,Deans,322
114.468083333333,-34.048183333333299,Deans,321
